row_type,ts_utc,run_date,match_key,match_link,league_slug,match_date,tournament,player_a,player_b,model_id_a,model_id_b,best_of,market,line,book_side,model_selection,bookmaker,decimal_odds,market_p_devig,model_p,edge_raw,edge_devig,kelly_full,stake_flat,stake_kelly,bankroll_kelly,result,pnl_flat,pnl_kelly,note,model_pmf_start,model_pmf,model_median,outcome_value,open_decimal_odds,hours_to_start
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848213,pointsbet:2848213,atp-cincinnati,2026-08-15,ATP Cincinnati,Hanfmann Y.,Fils A.,H997,F0F1,3,games_handicap,4.5,home,A -4.5,pointsbet,1.63,0.5744125326370757,0.688088356847365,0.07459142433202759,0.11367582421028932,0.19299051057334116,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"0.0003064,0.00121573,0.00837338,0.0101277,0.0484083,0.034668,0.140699,0.0681131,0.202803,0.0822582,0.0788104,0.0317155,0.0320438,0.0327885,0.0303712,0.064817,0.0315047,0.0613696,0.0127462,0.0203716,0.00293473,0.00301544,0.000357894,0.000171777,9.32112e-06",-4.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847042,pointsbet:2847042,atp-cincinnati,2026-08-15,ATP Cincinnati,Landaluce M.,Arnaldi M.,L0IL,A0FC,3,total_games,22.5,over,over 22.5,pointsbet,1.77,0.5241935483870968,0.5079799670274068,-0.056991784385022615,-0.016213581359689977,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0053552,0.0298214,0.061427,0.0672671,0.0857955,0.0734225,0.0578959,0.0910355,0.0682084,0.0106166,0.0354157,0.0560673,0.0273645,0.0339564,0.0371289,0.0378274,0.0466512,0.0453851,0.0285944,0.0215839,0.028842,0.010338",23.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847042,pointsbet:2847042,atp-cincinnati,2026-08-15,ATP Cincinnati,Landaluce M.,Arnaldi M.,L0IL,A0FC,3,games_handicap,-0.5,home,A +0.5,pointsbet,1.77,0.5177111716621253,0.5061488187546196,-0.0588229326578098,-0.011562352907505735,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"7.00559e-05,0.000303086,0.00252219,0.00332811,0.0191903,0.0152015,0.0732661,0.0394788,0.137177,0.0623752,0.0711023,0.0328021,0.037035,0.0428646,0.0440754,0.104627,0.0596795,0.129344,0.0353047,0.0613031,0.012121,0.0133944,0.00219302,0.00115411,8.73714e-05",1.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847154,pointsbet:2847154,atp-cincinnati,2026-08-16,ATP Cincinnati,Zverev A.,Norrie C.,Z355,N771,3,total_games,21.5,over,over 21.5,pointsbet,1.65,0.5657894736842105,0.5258006287506543,-0.08025997730995182,-0.039988844933556256,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0277808,0.0287198,0.103513,0.0472226,0.120689,0.0559258,0.0703487,0.0850616,0.0707633,0.00742151,0.0417741,0.0375786,0.023508,0.021188,0.0328219,0.0249143,0.0435437,0.0343352,0.0271188,0.017678,0.0285247,0.00956881",22.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847154,pointsbet:2847154,atp-cincinnati,2026-08-16,ATP Cincinnati,Zverev A.,Norrie C.,Z355,N771,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.67,0.557029177718833,0.5467097226379911,-0.05209267257158978,-0.010319455080841866,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"3.74596e-06,1.84356e-05,0.000240354,0.00034917,0.00314276,0.00270914,0.0205161,0.0124082,0.0637492,0.0341755,0.0452723,0.0224053,0.0285112,0.0381145,0.0498229,0.131852,0.0853667,0.206917,0.0623708,0.121697,0.0271101,0.0332488,0.0061811,0.00351631,0.000302325",4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847267,pointsbet:2847267,atp-cincinnati,2026-08-15,ATP Cincinnati,Jodar R.,Shapovalov D.,J0DZ,SU55,3,total_games,21.5,over,over 21.5,pointsbet,1.74,0.5347593582887701,0.5318417289403243,-0.04287091473783655,-0.0029176293484457494,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0280123,0.0301209,0.0993485,0.0505983,0.112426,0.0598745,0.0677781,0.0826992,0.0668169,0.00840298,0.0430948,0.0370724,0.0261966,0.0246401,0.0353433,0.0281621,0.0444285,0.0358722,0.0269461,0.018034,0.0269764,0.00715613",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847267,pointsbet:2847267,atp-cincinnati,2026-08-15,ATP Cincinnati,Jodar R.,Shapovalov D.,J0DZ,SU55,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.8,0.5095367847411445,0.5226223711669606,-0.03293318438859494,0.013085586425816143,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"7.94831e-06,3.7996e-05,0.000433537,0.000619262,0.00488064,0.00416457,0.0273908,0.0161614,0.0733242,0.037404,0.0483676,0.023893,0.0299185,0.0388675,0.0472543,0.124652,0.0806418,0.194245,0.0607732,0.116751,0.0271136,0.0328169,0.0063462,0.00361216,0.000322676",4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847370,pointsbet:2847370,atp-cincinnati,2026-08-15,ATP Cincinnati,Kecmanovic M.,Cobolli F.,KI95,C0E9,3,total_games,22.5,over,over 22.5,pointsbet,1.71,0.5390835579514824,0.4809734338075601,-0.10382188782986679,-0.05811012414392236,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0132753,0.042294,0.0626613,0.0812043,0.0709423,0.0884518,0.0558651,0.0843325,0.0580956,0.0135407,0.0466245,0.0419483,0.0300752,0.037838,0.0383179,0.0404217,0.0429953,0.0414271,0.0251863,0.0194481,0.0227326,0.00232218",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847370,pointsbet:2847370,atp-cincinnati,2026-08-15,ATP Cincinnati,Kecmanovic M.,Cobolli F.,KI95,C0E9,3,games_handicap,0.5,home,A -0.5,pointsbet,1.9,0.4822888283378746,0.4740587356972789,-0.05225705377640527,-0.00823009264059571,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.00021113,0.000855914,0.00562672,0.00715683,0.0326884,0.0255844,0.0967746,0.0510781,0.144189,0.0622131,0.0675696,0.031993,0.034708,0.0390087,0.0369336,0.0862259,0.0513144,0.108521,0.0331592,0.0551428,0.0122873,0.0130272,0.00238073,0.00124515,0.000104519",-1.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847376,pointsbet:2847376,atp-cincinnati,2026-08-15,ATP Cincinnati,Struff J.,Tabilo A.,SL28,TE30,3,total_games,22.5,over,over 22.5,pointsbet,1.69,0.5481283422459893,0.5120676505374318,-0.07964832579392922,-0.036060691708557524,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0296443,0.044504,0.0788997,0.0714467,0.0890835,0.0532093,0.101145,0.074225,0.00964589,0.0340376,0.0593748,0.021836,0.0330968,0.0314362,0.0376731,0.0434993,0.049142,0.0280022,0.0228563,0.031178,0.0160643",23.0,,,
