tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2023-9900,United Cup,Hard,18,A,O,20230102,1,GH92,,,Borna Gojo,R,196.0,CRO,24.846,144.0,381.0,CE77,,,Federico Coria,R,180.0,ARG,30.817,75.0,695.0,7-6(5) 6-4,3,RR,97.0,6.0,3.0,66.0,47.0,37.0,10.0,11.0,0.0,0.0,0.0,0.0,81.0,50.0,37.0,15.0,11.0,3.0,4.0
2023-9900,United Cup,Hard,18,A,O,20230102,2,CG80,8.0,,Borna Coric,R,188.0,CRO,26.133,26.0,1685.0,C0AU,17.0,,Francisco Cerundolo,R,185.0,ARG,24.389,30.0,1395.0,7-5 6-4,3,RR,128.0,4.0,2.0,81.0,51.0,37.0,12.0,11.0,8.0,10.0,2.0,1.0,70.0,50.0,31.0,8.0,11.0,5.0,9.0
2023-9900,United Cup,Hard,18,A,O,20230102,3,ME82,,,Adrian Mannarino,L,180.0,FRA,34.511,46.0,946.0,CE77,,,Federico Coria,R,180.0,ARG,30.817,75.0,695.0,6-1 6-0,3,RR,62.0,6.0,0.0,44.0,30.0,23.0,7.0,7.0,2.0,3.0,2.0,2.0,56.0,37.0,16.0,5.0,6.0,4.0,10.0
2023-9900,United Cup,Hard,18,A,O,20230102,4,RC91,6.0,,Arthur Rinderknech,R,196.0,FRA,27.447,44.0,952.0,C0AU,17.0,,Francisco Cerundolo,R,185.0,ARG,24.389,30.0,1395.0,6-4 6-2,3,RR,,2.0,1.0,64.0,43.0,30.0,11.0,9.0,0.0,0.0,1.0,3.0,57.0,37.0,22.0,10.0,9.0,4.0,7.0
2023-9900,United Cup,Hard,18,A,O,20230102,5,GH92,,,Borna Gojo,R,196.0,CRO,24.846,144.0,381.0,ME82,,,Adrian Mannarino,L,180.0,FRA,34.511,46.0,946.0,7-6(5) 3-6 7-6(5),3,RR,170.0,14.0,4.0,110.0,72.0,57.0,17.0,16.0,1.0,4.0,9.0,1.0,104.0,63.0,51.0,21.0,17.0,3.0,5.0
2023-9900,United Cup,Hard,18,A,O,20230102,6,CG80,8.0,,Borna Coric,R,188.0,CRO,26.133,26.0,1685.0,RC91,6.0,,Arthur Rinderknech,R,196.0,FRA,27.447,44.0,952.0,7-6(1) 7-6(2),3,RR,113.0,10.0,1.0,65.0,43.0,40.0,15.0,12.0,1.0,2.0,8.0,3.0,81.0,51.0,36.0,17.0,12.0,2.0,3.0
2023-9900,United Cup,Hard,18,A,O,20230102,7,MW75,,,Felipe Meligeni Alves,R,185.0,BRA,24.868,166.0,343.0,DC76,,,Viktor Durasovic,R,185.0,NOR,25.791,343.0,143.0,6-3 6-3,3,RR,87.0,5.0,0.0,59.0,41.0,31.0,11.0,9.0,1.0,1.0,11.0,5.0,73.0,41.0,28.0,11.0,9.0,3.0,6.0
2023-9900,United Cup,Hard,18,A,O,20230102,8,RH16,18.0,,Casper Ruud,R,183.0,NOR,24.03,3.0,5820.0,MJ08,11.0,,Thiago Monteiro,L,183.0,BRA,28.591,71.0,738.0,6-3 6-2,3,RR,71.0,8.0,1.0,49.0,36.0,24.0,8.0,9.0,2.0,4.0,2.0,5.0,41.0,27.0,16.0,3.0,8.0,1.0,6.0
2023-9900,United Cup,Hard,18,A,O,20230102,9,M0EJ,,,Lorenzo Musetti,R,185.0,ITA,20.835,23.0,1865.0,DC76,,,Viktor Durasovic,R,185.0,NOR,25.791,343.0,143.0,7-6(7) 6-3,3,RR,108.0,7.0,1.0,69.0,42.0,35.0,16.0,11.0,1.0,2.0,6.0,3.0,81.0,45.0,28.0,19.0,10.0,8.0,10.0
2023-9900,United Cup,Hard,18,A,O,20230102,10,BK40,5.0,,Matteo Berrettini,R,196.0,ITA,26.724,16.0,2375.0,RH16,18.0,,Casper Ruud,R,183.0,NOR,24.03,3.0,5820.0,6-4 6-4,3,RR,86.0,10.0,2.0,60.0,40.0,35.0,9.0,10.0,2.0,2.0,4.0,0.0,52.0,41.0,31.0,4.0,10.0,0.0,2.0
2023-9900,United Cup,Hard,18,A,O,20230102,11,M0EJ,,,Lorenzo Musetti,R,185.0,ITA,20.835,23.0,1865.0,MW75,,,Felipe Meligeni Alves,R,185.0,BRA,24.868,166.0,343.0,6-3 6-4,3,RR,,9.0,1.0,55.0,31.0,22.0,15.0,10.0,1.0,3.0,1.0,2.0,50.0,33.0,19.0,8.0,9.0,0.0,4.0
2023-9900,United Cup,Hard,18,A,O,20230102,12,BK40,5.0,,Matteo Berrettini,R,196.0,ITA,26.724,16.0,2375.0,MJ08,11.0,,Thiago Monteiro,L,183.0,BRA,28.591,71.0,738.0,6-4 7-6(7),3,RR,115.0,15.0,1.0,64.0,43.0,38.0,14.0,11.0,0.0,0.0,4.0,2.0,72.0,43.0,31.0,20.0,11.0,1.0,2.0
2023-9900,United Cup,Hard,18,A,O,20230102,13,KB95,,,Jason Kubler,R,178.0,AUS,29.624,107.0,538.0,E687,,,Daniel Evans,R,175.0,GBR,32.613,27.0,1585.0,6-3 7-6(3),3,RR,110.0,11.0,1.0,67.0,42.0,30.0,15.0,11.0,2.0,4.0,3.0,2.0,64.0,36.0,26.0,13.0,10.0,1.0,4.0
2023-9900,United Cup,Hard,18,A,O,20230102,14,N771,15.0,,Cameron Norrie,L,188.0,GBR,27.362,14.0,2445.0,DH58,7.0,,Alex de Minaur,R,183.0,AUS,23.874,24.0,1790.0,6-3 6-3,3,RR,,4.0,1.0,56.0,30.0,26.0,14.0,9.0,4.0,4.0,3.0,1.0,55.0,28.0,19.0,14.0,9.0,6.0,9.0
2023-9900,United Cup,Hard,18,A,O,20230102,15,E687,,,Daniel Evans,R,175.0,GBR,32.613,27.0,1585.0,R772,,,Albert Ramos-Vinolas,L,188.0,ESP,34.96,39.0,1075.0,6-3 1-6 6-3,3,RR,139.0,5.0,1.0,73.0,41.0,32.0,15.0,13.0,2.0,5.0,3.0,3.0,82.0,49.0,32.0,14.0,12.0,4.0,7.0
2023-9900,United Cup,Hard,18,A,O,20230102,16,N771,15.0,,Cameron Norrie,L,188.0,GBR,27.362,14.0,2445.0,N409,4.0,,Rafael Nadal,L,185.0,ESP,36.583,2.0,6020.0,3-6 6-3 6-4,3,RR,164.0,6.0,2.0,88.0,57.0,42.0,18.0,14.0,5.0,6.0,10.0,4.0,95.0,55.0,40.0,21.0,14.0,9.0,11.0
2023-9900,United Cup,Hard,18,A,O,20230102,17,KB95,,,Jason Kubler,R,178.0,AUS,29.624,107.0,538.0,R772,,,Albert Ramos-Vinolas,L,188.0,ESP,34.96,39.0,1075.0,6-3 4-6 6-3,3,RR,129.0,10.0,2.0,78.0,50.0,41.0,14.0,14.0,1.0,3.0,4.0,2.0,82.0,46.0,33.0,19.0,14.0,1.0,5.0
2023-9900,United Cup,Hard,18,A,O,20230102,18,DH58,7.0,,Alex de Minaur,R,183.0,AUS,23.874,24.0,1790.0,N409,4.0,,Rafael Nadal,L,185.0,ESP,36.583,2.0,6020.0,3-6 6-1 7-5,3,RR,162.0,3.0,6.0,100.0,62.0,39.0,19.0,14.0,8.0,12.0,2.0,4.0,92.0,56.0,34.0,16.0,14.0,7.0,13.0
2023-9900,United Cup,Hard,18,A,O,20230102,19,O449,,,Oscar Otte,R,193.0,GER,29.465,76.0,691.0,S0GD,,,Dalibor Svrcina,R,178.0,CZE,20.252,222.0,249.0,7-6(1) 6-2,3,RR,109.0,7.0,2.0,67.0,35.0,23.0,15.0,10.0,6.0,10.0,0.0,2.0,73.0,46.0,24.0,10.0,10.0,1.0,7.0
2023-9900,United Cup,Hard,18,A,O,20230102,20,L0BV,14.0,,Jiri Lehecka,R,185.0,CZE,21.15,81.0,646.0,Z355,10.0,,Alexander Zverev,R,198.0,GER,25.703,12.0,2700.0,6-4 6-2,3,RR,92.0,5.0,3.0,67.0,47.0,36.0,8.0,9.0,6.0,7.0,1.0,8.0,56.0,34.0,22.0,8.0,9.0,4.0,8.0
2023-9900,United Cup,Hard,18,A,O,20230102,21,TD51,,,Frances Tiafoe,R,188.0,USA,24.95,19.0,2000.0,M0FH,,,Tomas Machac,R,183.0,CZE,22.22,97.0,580.0,6-3 2-4 RET,3,RR,80.0,4.0,1.0,55.0,36.0,24.0,10.0,8.0,2.0,4.0,6.0,5.0,59.0,37.0,27.0,6.0,7.0,3.0,5.0
2023-9900,United Cup,Hard,18,A,O,20230102,22,FB98,3.0,,Taylor Fritz,R,196.0,USA,25.18,9.0,3355.0,L0BV,14.0,,Jiri Lehecka,R,185.0,CZE,21.15,81.0,646.0,6-3 6-4,3,RR,,5.0,3.0,68.0,41.0,32.0,14.0,10.0,2.0,2.0,4.0,1.0,48.0,31.0,24.0,8.0,9.0,1.0,3.0
2023-9900,United Cup,Hard,18,A,O,20230102,23,TD51,,,Frances Tiafoe,R,188.0,USA,24.95,19.0,2000.0,O449,,,Oscar Otte,R,193.0,GER,29.465,76.0,691.0,7-5 6-4,3,RR,75.0,9.0,3.0,56.0,30.0,29.0,16.0,11.0,0.0,0.0,10.0,0.0,58.0,30.0,23.0,18.0,11.0,0.0,2.0
2023-9900,United Cup,Hard,18,A,O,20230102,24,FB98,3.0,,Taylor Fritz,R,196.0,USA,25.18,9.0,3355.0,Z355,10.0,,Alexander Zverev,R,198.0,GER,25.703,12.0,2700.0,6-1 6-4,3,RR,64.0,8.0,4.0,45.0,27.0,26.0,11.0,9.0,1.0,1.0,3.0,5.0,60.0,48.0,31.0,3.0,8.0,3.0,6.0
2023-9900,United Cup,Hard,18,A,O,20230102,25,HH06,,,Marc-Andrea Huesler,L,196.0,SUI,26.524,56.0,818.0,S0GR,,,Timofey Skatov,R,173.0,KAZ,21.947,142.0,387.0,4-6 6-3 6-3,3,RR,,6.0,1.0,99.0,67.0,48.0,16.0,14.0,6.0,7.0,4.0,2.0,88.0,61.0,41.0,13.0,14.0,4.0,7.0
