tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-339,Brisbane,Hard,32,250,O,20110102,1,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,H940,,Q,Ryan Harrison,R,185.0,USA,18.656,173.0,309.0,6-2 6-4,3,R32,66.0,8.0,3.0,52.0,32.0,26.0,13.0,9.0,1.0,1.0,4.0,1.0,50.0,27.0,16.0,12.0,9.0,1.0,4.0
2011-339,Brisbane,Hard,32,250,O,20110102,2,B678,,,Michael Berrer,L,193.0,GER,30.505,58.0,835.0,SC56,,,Dudi Sela,R,175.0,ISR,25.747,75.0,643.0,1-6 7-6(3) 6-2,3,R32,152.0,9.0,3.0,99.0,54.0,34.0,28.0,13.0,8.0,10.0,16.0,4.0,103.0,59.0,42.0,20.0,14.0,3.0,5.0
2011-339,Brisbane,Hard,32,250,O,20110102,3,E690,,Q,Matthew Ebden,R,188.0,AUS,23.102,196.0,263.0,MH30,,WC,John Millman,R,183.0,AUS,21.552,204.0,243.0,4-6 6-2 6-4,3,R32,104.0,12.0,1.0,85.0,63.0,46.0,9.0,14.0,1.0,3.0,4.0,3.0,76.0,58.0,42.0,6.0,14.0,4.0,8.0
2011-339,Brisbane,Hard,32,250,O,20110102,4,I165,8.0,,Denis Istomin,R,185.0,UZB,24.32,40.0,1031.0,D776,,,Thiemo de Bakker,R,193.0,NED,22.286,43.0,975.0,7-6(5) 6-4,3,R32,93.0,6.0,1.0,63.0,43.0,33.0,16.0,11.0,2.0,2.0,10.0,1.0,72.0,43.0,31.0,17.0,11.0,2.0,3.0
2011-339,Brisbane,Hard,32,250,O,20110102,5,F339,4.0,,Mardy Fish,R,188.0,USA,29.065,16.0,1991.0,ME82,,Q,Adrian Mannarino,L,180.0,FRA,22.511,83.0,600.0,6-1 6-4,3,R32,79.0,11.0,0.0,51.0,28.0,23.0,16.0,9.0,1.0,1.0,1.0,6.0,68.0,37.0,24.0,11.0,8.0,3.0,6.0
2011-339,Brisbane,Hard,32,250,O,20110102,6,S694,,,Radek Stepanek,R,185.0,CZE,32.099,62.0,795.0,K839,,,Tobias Kamke,R,178.0,GER,24.619,67.0,724.0,5-7 6-1 6-4,3,R32,124.0,7.0,3.0,80.0,47.0,37.0,16.0,15.0,2.0,5.0,4.0,7.0,87.0,50.0,33.0,19.0,14.0,5.0,10.0
2011-339,Brisbane,Hard,32,250,O,20110102,7,BE90,,Q,Ricardas Berankis,R,175.0,LTU,20.534,87.0,587.0,C487,,,Arnaud Clement,R,173.0,FRA,33.043,78.0,627.0,6-4 6-3,3,R32,86.0,8.0,2.0,55.0,30.0,24.0,13.0,9.0,1.0,2.0,6.0,3.0,64.0,37.0,26.0,11.0,10.0,5.0,9.0
2011-339,Brisbane,Hard,32,250,O,20110102,8,MB02,7.0,,Florian Mayer,R,191.0,GER,27.244,37.0,1128.0,TA46,,WC,Bernard Tomic,R,196.0,AUS,18.198,208.0,239.0,6-2 6-2,3,R32,55.0,12.0,0.0,35.0,25.0,23.0,9.0,8.0,0.0,0.0,5.0,0.0,58.0,34.0,22.0,6.0,8.0,1.0,5.0
2011-339,Brisbane,Hard,32,250,O,20110102,9,L397,6.0,,Feliciano Lopez,L,188.0,ESP,29.284,32.0,1300.0,P624,,,Philipp Petzschner,R,185.0,GER,26.776,57.0,839.0,6-4 7-6(11),3,R32,100.0,11.0,7.0,77.0,39.0,33.0,21.0,11.0,4.0,5.0,9.0,5.0,68.0,30.0,25.0,22.0,11.0,0.0,2.0
2011-339,Brisbane,Hard,32,250,O,20110102,10,A678,,,Kevin Anderson,R,203.0,RSA,24.627,61.0,813.0,L515,,LL,Peter Luczak,R,183.0,AUS,31.34,137.0,400.0,6-4 6-4,3,R32,72.0,18.0,0.0,44.0,33.0,31.0,9.0,10.0,0.0,0.0,4.0,2.0,58.0,41.0,28.0,10.0,10.0,1.0,3.0
