tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-339,Brisbane,Hard,32,250,O,20170102,1,T840,,,Viktor Troicki,R,193.0,SRB,30.894,29.0,1385.0,N732,,Q,Yoshihito Nishioka,L,170.0,JPN,21.268,100.0,604.0,6-4 7-5,3,R32,91.0,11.0,5.0,64.0,45.0,35.0,6.0,11.0,1.0,3.0,0.0,1.0,82.0,53.0,33.0,13.0,11.0,6.0,10.0
2017-339,Brisbane,Hard,32,250,O,20170102,2,E831,,,Kyle Edmund,R,188.0,GBR,21.985,45.0,1001.0,E873,,Q,Ernesto Escobedo,R,185.0,MEX,20.498,141.0,443.0,7-6(4) 7-6(6),3,R32,130.0,11.0,2.0,83.0,48.0,37.0,19.0,12.0,2.0,3.0,11.0,3.0,113.0,67.0,39.0,27.0,12.0,9.0,10.0
2017-339,Brisbane,Hard,32,250,O,20170102,3,PF39,6.0,,Lucas Pouille,R,185.0,FRA,22.858,15.0,2156.0,SD32,,,Gilles Simon,R,183.0,FRA,32.016,25.0,1585.0,7-6(6) 7-6(4),3,R32,125.0,7.0,2.0,102.0,52.0,37.0,24.0,12.0,8.0,12.0,1.0,4.0,76.0,42.0,29.0,16.0,12.0,0.0,4.0
2017-339,Brisbane,Hard,32,250,O,20170102,4,DC58,,Q,Jared Donaldson,R,188.0,USA,20.233,105.0,570.0,MA30,,,Gilles Muller,L,193.0,LUX,33.654,34.0,1255.0,6-4 6-4,3,R32,75.0,12.0,2.0,55.0,33.0,27.0,13.0,10.0,0.0,1.0,10.0,2.0,58.0,37.0,27.0,7.0,10.0,2.0,5.0
2017-339,Brisbane,Hard,32,250,O,20170102,5,TC61,,WC,Jordan Thompson,R,183.0,AUS,22.705,79.0,689.0,Y218,,WC,Elias Ymer,R,185.0,SWE,20.731,160.0,372.0,6-3 6-2,3,R32,90.0,1.0,0.0,46.0,28.0,26.0,6.0,8.0,1.0,2.0,1.0,6.0,74.0,43.0,23.0,13.0,9.0,10.0,15.0
2017-339,Brisbane,Hard,32,250,O,20170102,6,F401,8.0,,David Ferrer,R,175.0,ESP,34.754,21.0,1785.0,TA46,,,Bernard Tomic,R,196.0,AUS,24.2,26.0,1465.0,6-3 7-5,3,R32,83.0,3.0,5.0,52.0,30.0,25.0,12.0,10.0,2.0,3.0,5.0,8.0,74.0,44.0,29.0,12.0,11.0,5.0,9.0
2017-339,Brisbane,Hard,32,250,O,20170102,7,D875,7.0,,Grigor Dimitrov,R,191.0,BUL,25.634,17.0,2035.0,J386,,,Steve Johnson,R,188.0,USA,27.025,33.0,1320.0,6-2 6-3,3,R32,75.0,3.0,0.0,48.0,25.0,23.0,12.0,9.0,0.0,1.0,2.0,3.0,57.0,36.0,21.0,7.0,8.0,4.0,8.0
2017-339,Brisbane,Hard,32,250,O,20170102,8,M873,,,Nicolas Mahut,R,191.0,FRA,34.949,39.0,1102.0,R612,,,Stephane Robert,R,185.0,FRA,36.63,54.0,854.0,4-6 6-3 6-4,3,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0
2017-339,Brisbane,Hard,32,250,O,20170102,9,G940,,WC,Sam Groth,R,193.0,AUS,29.207,180.0,320.0,H996,,,Pierre-Hugues Herbert,R,188.0,FRA,25.796,78.0,698.0,6-3 5-7 7-5,3,R32,130.0,20.0,5.0,106.0,59.0,45.0,28.0,17.0,8.0,10.0,9.0,5.0,87.0,48.0,33.0,24.0,16.0,4.0,7.0
2017-339,Brisbane,Hard,32,250,O,20170102,10,N409,5.0,,Rafael Nadal,L,185.0,ESP,30.585,9.0,3300.0,D801,,,Alexandr Dolgopolov,R,180.0,UKR,28.153,62.0,760.0,6-3 6-3,3,R32,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0
2017-339,Brisbane,Hard,32,250,O,20170102,11,Z168,,,Mischa Zverev,L,191.0,GER,29.366,51.0,874.0,DH58,,Q,Alex de Minaur,R,183.0,AUS,17.875,351.0,132.0,6-3 6-3,3,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0
2017-339,Brisbane,Hard,32,250,O,20170102,12,SM37,,,Diego Schwartzman,R,170.0,ARG,24.381,52.0,864.0,Q927,,,Sam Querrey,R,198.0,USA,29.24,31.0,1355.0,6-2 6-4,3,R32,58.0,2.0,0.0,47.0,29.0,21.0,11.0,9.0,0.0,2.0,3.0,7.0,50.0,25.0,15.0,9.0,9.0,4.0,9.0
2017-339,Brisbane,Hard,32,250,O,20170102,13,W367,2.0,,Stan Wawrinka,R,183.0,SUI,31.767,4.0,5315.0,T840,,,Viktor Troicki,R,193.0,SRB,30.894,29.0,1385.0,7-6(5) 6-4,3,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0
2017-339,Brisbane,Hard,32,250,O,20170102,14,E831,,,Kyle Edmund,R,188.0,GBR,21.985,45.0,1001.0,PF39,6.0,,Lucas Pouille,R,185.0,FRA,22.858,15.0,2156.0,6-3 3-1 RET,3,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0
2017-339,Brisbane,Hard,32,250,O,20170102,15,N552,3.0,,Kei Nishikori,R,178.0,JPN,27.012,5.0,4905.0,DC58,,Q,Jared Donaldson,R,188.0,USA,20.233,105.0,570.0,4-6 6-4 6-3,3,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0
2017-339,Brisbane,Hard,32,250,O,20170102,16,TC61,,WC,Jordan Thompson,R,183.0,AUS,22.705,79.0,689.0,F401,8.0,,David Ferrer,R,175.0,ESP,34.754,21.0,1785.0,4-6 7-5 7-5,3,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0
2017-339,Brisbane,Hard,32,250,O,20170102,17,D875,7.0,,Grigor Dimitrov,R,191.0,BUL,25.634,17.0,2035.0,M873,,,Nicolas Mahut,R,191.0,FRA,34.949,39.0,1102.0,6-2 6-4,3,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0
2017-339,Brisbane,Hard,32,250,O,20170102,18,TB69,4.0,,Dominic Thiem,R,185.0,AUT,23.332,8.0,3415.0,G940,,WC,Sam Groth,R,193.0,AUS,29.207,180.0,320.0,7-6(5) 6-3,3,R16,89.0,11.0,1.0,65.0,44.0,36.0,15.0,11.0,4.0,4.0,11.0,1.0,58.0,35.0,34.0,9.0,10.0,3.0,4.0
2017-339,Brisbane,Hard,32,250,O,20170102,19,N409,5.0,,Rafael Nadal,L,185.0,ESP,30.585,9.0,3300.0,Z168,,,Mischa Zverev,L,191.0,GER,29.366,51.0,874.0,6-1 6-1,3,R16,55.0,1.0,2.0,38.0,18.0,15.0,15.0,7.0,2.0,2.0,2.0,2.0,38.0,25.0,13.0,3.0,7.0,3.0,8.0
2017-339,Brisbane,Hard,32,250,O,20170102,20,R975,1.0,,Milos Raonic,R,196.0,CAN,26.018,3.0,5450.0,SM37,,,Diego Schwartzman,R,170.0,ARG,24.381,52.0,864.0,6-3 6-2,3,R16,69.0,12.0,1.0,53.0,40.0,30.0,7.0,9.0,2.0,3.0,0.0,1.0,44.0,29.0,17.0,6.0,8.0,2.0,6.0
2017-339,Brisbane,Hard,32,250,O,20170102,21,W367,2.0,,Stan Wawrinka,R,183.0,SUI,31.767,4.0,5315.0,E831,,,Kyle Edmund,R,188.0,GBR,21.985,45.0,1001.0,6-7(2) 6-4 6-4,3,QF,156.0,11.0,3.0,119.0,67.0,47.0,28.0,16.0,11.0,13.0,2.0,2.0,97.0,65.0,52.0,11.0,16.0,6.0,10.0
