tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2022-8888,ATP Cup,Hard,16,A,O,20220103,1,D874,,,Federico Delbonis,L,193.0,ARG,31.247,44.0,1327.0,MN23,,,Aleksandre Metreveli,R,183.0,GEO,28.4,570.0,55.0,6-1 6-2,3,R128,65.0,4.0,2.0,34.0,22.0,19.0,7.0,7.0,0.0,1.0,1.0,2.0,58.0,35.0,17.0,8.0,8.0,3.0,9.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,2,SM37,,,Diego Schwartzman,R,170.0,ARG,29.383,13.0,2625.0,BG23,,,Nikoloz Basilashvili,R,185.0,GEO,29.862,22.0,2101.0,6-1 6-2,3,R128,61.0,5.0,2.0,41.0,27.0,21.0,9.0,8.0,1.0,2.0,2.0,4.0,47.0,29.0,16.0,3.0,7.0,4.0,9.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,3,MQ75,,,Kamil Majchrzak,R,183.0,POL,25.974,117.0,633.0,BP74,,,Aleksandre Bakshi,L,180.0,GEO,24.471,974.0,13.0,6-1 6-1,3,R128,53.0,1.0,2.0,41.0,23.0,18.0,10.0,7.0,1.0,2.0,0.0,6.0,52.0,35.0,17.0,5.0,7.0,6.0,12.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,4,HB71,,,Hubert Hurkacz,R,196.0,POL,24.893,9.0,3706.0,MN23,,,Aleksandre Metreveli,R,183.0,GEO,28.4,570.0,55.0,6-7(5) 6-3 6-1,3,R128,122.0,16.0,0.0,76.0,60.0,48.0,11.0,14.0,0.0,0.0,5.0,5.0,100.0,50.0,33.0,25.0,14.0,6.0,10.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,5,MQ75,,,Kamil Majchrzak,R,183.0,POL,25.974,117.0,633.0,D874,,,Federico Delbonis,L,193.0,ARG,31.247,44.0,1327.0,6-3 7-6(3),3,R128,105.0,5.0,1.0,64.0,41.0,28.0,15.0,11.0,2.0,5.0,4.0,0.0,85.0,65.0,38.0,7.0,10.0,12.0,16.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,6,HB71,,,Hubert Hurkacz,R,196.0,POL,24.893,9.0,3706.0,SM37,,,Diego Schwartzman,R,170.0,ARG,29.383,13.0,2625.0,6-1 6-4,3,R128,81.0,12.0,3.0,53.0,36.0,30.0,8.0,9.0,3.0,3.0,1.0,0.0,63.0,43.0,24.0,9.0,8.0,8.0,11.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,7,PM13,,,Michail Pervolarakis,R,193.0,GRE,25.577,399.0,106.0,MN23,,,Aleksandre Metreveli,R,183.0,GEO,28.4,570.0,55.0,6-3 6-2,3,R128,68.0,6.0,2.0,54.0,33.0,25.0,15.0,9.0,0.0,0.0,0.0,3.0,45.0,23.0,13.0,11.0,8.0,2.0,5.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,8,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,23.395,4.0,6540.0,BG23,,,Nikoloz Basilashvili,R,185.0,GEO,29.862,22.0,2101.0,4-1 RET,3,R128,33.0,5.0,2.0,21.0,12.0,10.0,4.0,3.0,0.0,0.0,1.0,1.0,13.0,4.0,2.0,4.0,2.0,2.0,3.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,9,D874,,,Federico Delbonis,L,193.0,ARG,31.247,44.0,1327.0,PM13,,,Michail Pervolarakis,R,193.0,GRE,25.577,399.0,106.0,7-6(5) 6-1,3,R128,91.0,2.0,2.0,59.0,41.0,29.0,11.0,10.0,0.0,1.0,1.0,3.0,58.0,29.0,23.0,10.0,9.0,2.0,5.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,10,SM37,,,Diego Schwartzman,R,170.0,ARG,29.383,13.0,2625.0,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,23.395,4.0,6540.0,6-7(5) 6-3 6-3,3,R128,163.0,1.0,2.0,92.0,65.0,50.0,15.0,15.0,3.0,4.0,10.0,3.0,115.0,63.0,44.0,24.0,15.0,9.0,13.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,11,MQ75,,,Kamil Majchrzak,R,183.0,POL,25.974,117.0,633.0,PM13,,,Michail Pervolarakis,R,193.0,GRE,25.577,399.0,106.0,6-1 6-4,3,R128,79.0,1.0,3.0,51.0,34.0,27.0,8.0,9.0,1.0,2.0,3.0,3.0,58.0,32.0,23.0,6.0,8.0,1.0,5.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,12,HB71,,,Hubert Hurkacz,R,196.0,POL,24.893,9.0,3706.0,T0EI,,,Aristotelis Thanos,R,193.0,GRE,20.742,1078.0,10.0,6-1 6-2,3,R128,54.0,5.0,0.0,38.0,29.0,23.0,7.0,7.0,3.0,3.0,2.0,2.0,49.0,27.0,14.0,8.0,8.0,3.0,8.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,13,E687,,,Daniel Evans,R,175.0,GBR,31.617,25.0,1942.0,I186,,,John Isner,R,208.0,USA,36.69,24.0,1991.0,6-4 7-6(3),3,R128,94.0,4.0,2.0,56.0,34.0,30.0,19.0,11.0,0.0,0.0,16.0,1.0,68.0,48.0,34.0,12.0,11.0,6.0,7.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,14,FB98,,,Taylor Fritz,R,196.0,USA,24.183,23.0,2050.0,N771,,,Cameron Norrie,L,188.0,GBR,26.366,12.0,2945.0,7-6(4) 3-6 6-1,3,R128,118.0,15.0,1.0,85.0,50.0,34.0,23.0,14.0,3.0,5.0,5.0,3.0,94.0,57.0,38.0,20.0,14.0,8.0,11.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,15,I186,,,John Isner,R,208.0,USA,36.69,24.0,1991.0,SP24,,,Brayden Schnur,R,193.0,CAN,26.502,238.0,264.0,6-1 6-3,3,R128,65.0,10.0,0.0,50.0,35.0,28.0,6.0,8.0,1.0,1.0,1.0,4.0,46.0,29.0,18.0,7.0,8.0,4.0,8.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,16,FB98,,,Taylor Fritz,R,196.0,USA,24.183,23.0,2050.0,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,21.405,11.0,3308.0,6-7(6) 6-4 6-4,3,R128,147.0,12.0,2.0,90.0,50.0,39.0,30.0,16.0,1.0,1.0,9.0,2.0,94.0,56.0,43.0,24.0,16.0,4.0,6.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,17,E687,,,Daniel Evans,R,175.0,GBR,31.617,25.0,1942.0,SU55,,,Denis Shapovalov,L,185.0,CAN,22.721,14.0,2475.0,6-4 6-4,3,R128,82.0,4.0,0.0,48.0,35.0,31.0,9.0,10.0,0.0,0.0,6.0,7.0,57.0,36.0,26.0,10.0,10.0,1.0,3.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,18,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,21.405,11.0,3308.0,N771,,,Cameron Norrie,L,188.0,GBR,26.366,12.0,2945.0,7-6(4) 6-3,3,R128,119.0,8.0,9.0,70.0,43.0,35.0,10.0,11.0,5.0,7.0,2.0,4.0,82.0,54.0,33.0,12.0,10.0,7.0,10.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,19,SL28,,,Jan-Lennard Struff,R,193.0,GER,31.693,51.0,1134.0,I186,,,John Isner,R,208.0,USA,36.69,24.0,1991.0,7-6(7) 4-6 7-5,3,R128,163.0,18.0,6.0,104.0,58.0,49.0,29.0,17.0,5.0,6.0,34.0,4.0,129.0,83.0,65.0,19.0,17.0,7.0,8.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,20,Z355,,,Alexander Zverev,R,198.0,GER,24.706,3.0,7840.0,FB98,,,Taylor Fritz,R,196.0,USA,24.183,23.0,2050.0,6-4 6-4,3,R128,89.0,8.0,2.0,63.0,46.0,35.0,12.0,10.0,4.0,4.0,5.0,0.0,57.0,33.0,24.0,13.0,10.0,0.0,2.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,21,E687,,,Daniel Evans,R,175.0,GBR,31.617,25.0,1942.0,SL28,,,Jan-Lennard Struff,R,193.0,GER,31.693,51.0,1134.0,6-1 6-2,3,R128,69.0,4.0,1.0,43.0,25.0,20.0,12.0,8.0,0.0,0.0,3.0,3.0,49.0,27.0,18.0,7.0,7.0,7.0,11.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,22,Z355,,,Alexander Zverev,R,198.0,GER,24.706,3.0,7840.0,N771,,,Cameron Norrie,L,188.0,GBR,26.366,12.0,2945.0,7-6(2) 6-1,3,R128,87.0,5.0,1.0,59.0,50.0,42.0,4.0,10.0,3.0,3.0,5.0,0.0,62.0,37.0,26.0,13.0,9.0,4.0,6.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,23,SU55,,,Denis Shapovalov,L,185.0,CAN,22.721,14.0,2475.0,SL28,,,Jan-Lennard Struff,R,193.0,GER,31.693,51.0,1134.0,7-6(5) 4-6 6-3,3,R128,154.0,9.0,2.0,112.0,85.0,60.0,19.0,16.0,5.0,6.0,4.0,3.0,106.0,61.0,44.0,27.0,15.0,3.0,4.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,24,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,21.405,11.0,3308.0,Z355,,,Alexander Zverev,R,198.0,GER,24.706,3.0,7840.0,6-4 4-6 6-3,3,R128,151.0,7.0,1.0,84.0,53.0,40.0,15.0,14.0,7.0,9.0,5.0,2.0,92.0,59.0,37.0,20.0,15.0,4.0,8.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,25,RC91,,,Arthur Rinderknech,R,196.0,FRA,26.45,58.0,1029.0,D994,,,James Duckworth,R,183.0,AUS,29.952,49.0,1176.0,6-4 7-6(6),3,R128,113.0,12.0,0.0,79.0,47.0,37.0,19.0,11.0,6.0,6.0,10.0,1.0,70.0,50.0,40.0,11.0,11.0,1.0,2.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,26,DH58,,,Alex de Minaur,R,183.0,AUS,22.877,34.0,1561.0,HH26,,,Ugo Humbert,L,188.0,FRA,23.524,35.0,1558.0,3-6 7-6(2) 6-1,3,R128,137.0,4.0,0.0,82.0,53.0,36.0,23.0,13.0,2.0,3.0,4.0,6.0,103.0,66.0,45.0,19.0,15.0,4.0,7.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,27,S0AG,,,Jannik Sinner,R,191.0,ITA,20.383,10.0,3350.0,PH71,,,Max Purcell,R,185.0,AUS,23.754,176.0,386.0,6-1 6-3,3,R128,63.0,6.0,0.0,41.0,30.0,25.0,6.0,8.0,0.0,1.0,4.0,2.0,51.0,28.0,19.0,4.0,8.0,5.0,10.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,28,DH58,,,Alex de Minaur,R,183.0,AUS,22.877,34.0,1561.0,BK40,,,Matteo Berrettini,R,196.0,ITA,25.728,7.0,4568.0,6-3 7-6(4),3,R128,84.0,2.0,1.0,61.0,39.0,30.0,16.0,11.0,0.0,1.0,6.0,1.0,63.0,43.0,32.0,10.0,10.0,1.0,3.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,29,S0AG,,,Jannik Sinner,R,191.0,ITA,20.383,10.0,3350.0,RC91,,,Arthur Rinderknech,R,196.0,FRA,26.45,58.0,1029.0,6-3 7-6(3),3,R128,96.0,3.0,3.0,61.0,35.0,30.0,16.0,11.0,1.0,2.0,6.0,1.0,74.0,47.0,35.0,10.0,10.0,4.0,6.0
2022-8888,ATP Cup,Hard,16,A,O,20220103,30,BK40,,,Matteo Berrettini,R,196.0,ITA,25.728,7.0,4568.0,HH26,,,Ugo Humbert,L,188.0,FRA,23.524,35.0,1558.0,6-4 7-6(6),3,R128,95.0,18.0,2.0,63.0,46.0,39.0,10.0,11.0,0.0,0.0,2.0,5.0,73.0,51.0,38.0,12.0,11.0,3.0,4.0
