tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-339,Brisbane,Hard,32,250,O,20180101,1,MH30,,WC,John Millman,R,183.0,AUS,28.55,128.0,436.0,PB22,,Q,Peter Polansky,R,183.0,CAN,29.547,137.0,404.0,7-6(4) 6-0,3,R32,95.0,8.0,0.0,57.0,37.0,27.0,17.0,9.0,1.0,1.0,1.0,1.0,74.0,43.0,24.0,17.0,9.0,7.0,10.0
2018-339,Brisbane,Hard,32,250,O,20180101,2,E831,,,Kyle Edmund,R,188.0,GBR,22.982,50.0,992.0,SU55,,,Denis Shapovalov,L,185.0,CAN,18.716,51.0,981.0,6-7(5) 7-6(4) 6-4,3,R32,150.0,5.0,5.0,113.0,65.0,54.0,29.0,17.0,5.0,6.0,18.0,5.0,100.0,62.0,54.0,18.0,17.0,1.0,3.0
2018-339,Brisbane,Hard,32,250,O,20180101,3,CH27,,,Hyeon Chung,R,188.0,KOR,21.621,58.0,844.0,MA30,5.0,,Gilles Muller,L,193.0,LUX,34.65,25.0,1695.0,6-3 7-6(1),3,R32,99.0,7.0,4.0,64.0,35.0,29.0,17.0,10.0,2.0,2.0,19.0,5.0,68.0,40.0,33.0,10.0,11.0,3.0,5.0
2018-339,Brisbane,Hard,32,250,O,20180101,4,E690,,,Matthew Ebden,R,188.0,AUS,30.1,76.0,670.0,TD51,,,Frances Tiafoe,R,188.0,USA,19.948,79.0,662.0,6-3 6-2,3,R32,59.0,7.0,1.0,48.0,32.0,23.0,11.0,9.0,2.0,3.0,4.0,4.0,46.0,25.0,18.0,6.0,8.0,1.0,5.0
2018-339,Brisbane,Hard,32,250,O,20180101,5,Z184,,,Horacio Zeballos,L,188.0,ARG,32.682,66.0,768.0,E873,,Q,Ernesto Escobedo,R,185.0,MEX,21.495,120.0,498.0,6-3 6-4,3,R32,72.0,12.0,3.0,57.0,37.0,31.0,11.0,10.0,1.0,1.0,9.0,0.0,51.0,32.0,25.0,10.0,9.0,4.0,6.0
2018-339,Brisbane,Hard,32,250,O,20180101,6,D801,,,Alexandr Dolgopolov,R,180.0,UKR,29.15,38.0,1231.0,SM37,6.0,,Diego Schwartzman,R,170.0,ARG,25.377,26.0,1675.0,6-4 7-6(3),3,R32,93.0,6.0,4.0,69.0,40.0,32.0,16.0,11.0,3.0,4.0,1.0,2.0,70.0,34.0,22.0,20.0,11.0,1.0,3.0
2018-339,Brisbane,Hard,32,250,O,20180101,7,Z168,8.0,,Mischa Zverev,L,191.0,GER,30.363,33.0,1302.0,SJ55,,Q,John-Patrick Smith,L,188.0,AUS,28.936,218.0,235.0,6-4 7-5,3,R32,88.0,4.0,1.0,66.0,51.0,35.0,6.0,11.0,3.0,6.0,4.0,0.0,69.0,51.0,27.0,8.0,11.0,1.0,6.0
2018-339,Brisbane,Hard,32,250,O,20180101,8,MP01,,Q,Michael Mmoh,R,188.0,USA,19.975,175.0,299.0,D874,,,Federico Delbonis,L,193.0,ARG,27.242,68.0,755.0,6-3 6-4,3,R32,69.0,5.0,4.0,55.0,38.0,32.0,11.0,10.0,3.0,3.0,4.0,0.0,45.0,35.0,28.0,5.0,9.0,0.0,2.0
2018-339,Brisbane,Hard,32,250,O,20180101,9,DH58,,WC,Alex de Minaur,R,183.0,AUS,18.872,208.0,245.0,J386,,,Steve Johnson,R,188.0,USA,28.022,44.0,1055.0,7-6(7) 6-4,3,R32,104.0,9.0,3.0,66.0,37.0,32.0,17.0,11.0,2.0,3.0,6.0,2.0,80.0,43.0,33.0,17.0,11.0,4.0,6.0
2018-339,Brisbane,Hard,32,250,O,20180101,10,I165,,,Denis Istomin,R,185.0,UZB,31.318,63.0,809.0,D923,7.0,,Damir Dzumhur,R,175.0,BIH,25.618,30.0,1391.0,6-7(4) 6-3 6-2,3,R32,145.0,7.0,0.0,94.0,66.0,48.0,12.0,14.0,9.0,11.0,8.0,6.0,120.0,53.0,37.0,29.0,15.0,10.0,16.0
2018-339,Brisbane,Hard,32,250,O,20180101,11,DC58,,,Jared Donaldson,R,188.0,USA,21.229,54.0,890.0,TC61,,WC,Jordan Thompson,R,183.0,AUS,23.702,94.0,593.0,6-2 6-4,3,R32,90.0,5.0,3.0,58.0,32.0,25.0,14.0,9.0,4.0,5.0,3.0,5.0,62.0,41.0,25.0,7.0,9.0,7.0,11.0
2018-339,Brisbane,Hard,32,250,O,20180101,12,H940,,,Ryan Harrison,R,185.0,USA,25.654,47.0,1010.0,MD56,,,Leonardo Mayer,R,191.0,ARG,30.634,52.0,909.0,6-4 3-6 6-2,3,R32,123.0,9.0,2.0,82.0,49.0,39.0,20.0,13.0,8.0,9.0,10.0,3.0,80.0,47.0,33.0,19.0,14.0,1.0,4.0
2018-339,Brisbane,Hard,32,250,O,20180101,13,D875,1.0,,Grigor Dimitrov,R,191.0,BUL,26.631,3.0,5150.0,MH30,,WC,John Millman,R,183.0,AUS,28.55,128.0,436.0,4-6 7-6(8) 6-3,3,R16,155.0,6.0,5.0,113.0,65.0,51.0,22.0,16.0,4.0,7.0,5.0,1.0,101.0,67.0,46.0,18.0,15.0,3.0,6.0
2018-339,Brisbane,Hard,32,250,O,20180101,14,E831,,,Kyle Edmund,R,188.0,GBR,22.982,50.0,992.0,CH27,,,Hyeon Chung,R,188.0,KOR,21.621,58.0,844.0,7-6(3) 5-7 6-4,3,R16,158.0,12.0,3.0,102.0,66.0,54.0,16.0,17.0,1.0,3.0,11.0,1.0,109.0,75.0,51.0,20.0,17.0,6.0,8.0
2018-339,Brisbane,Hard,32,250,O,20180101,15,KE17,3.0,,Nick Kyrgios,R,193.0,AUS,22.683,21.0,2010.0,E690,,,Matthew Ebden,R,188.0,AUS,30.1,76.0,670.0,6-7(3) 7-6(5) 6-2,3,R16,132.0,13.0,2.0,100.0,62.0,53.0,21.0,16.0,2.0,2.0,11.0,2.0,105.0,78.0,58.0,16.0,16.0,5.0,7.0
2018-339,Brisbane,Hard,32,250,O,20180101,16,D801,,,Alexandr Dolgopolov,R,180.0,UKR,29.15,38.0,1231.0,Z184,,,Horacio Zeballos,L,188.0,ARG,32.682,66.0,768.0,6-1 6-2,3,R16,64.0,9.0,2.0,51.0,33.0,25.0,10.0,7.0,4.0,4.0,2.0,2.0,49.0,28.0,15.0,7.0,8.0,2.0,7.0
2018-339,Brisbane,Hard,32,250,O,20180101,17,MP01,,Q,Michael Mmoh,R,188.0,USA,19.975,175.0,299.0,Z168,8.0,,Mischa Zverev,L,191.0,GER,30.363,33.0,1302.0,6-2 5-7 6-4,3,R16,152.0,12.0,3.0,111.0,67.0,48.0,22.0,15.0,6.0,8.0,11.0,3.0,83.0,50.0,37.0,17.0,15.0,4.0,8.0
2018-339,Brisbane,Hard,32,250,O,20180101,18,DH58,,WC,Alex de Minaur,R,183.0,AUS,18.872,208.0,245.0,R975,4.0,,Milos Raonic,R,196.0,CAN,27.014,24.0,1795.0,6-4 6-4,3,R16,94.0,5.0,0.0,67.0,41.0,29.0,16.0,10.0,5.0,6.0,9.0,4.0,63.0,38.0,26.0,13.0,10.0,7.0,10.0
2018-339,Brisbane,Hard,32,250,O,20180101,19,I165,,,Denis Istomin,R,185.0,UZB,31.318,63.0,809.0,DC58,,,Jared Donaldson,R,188.0,USA,21.229,54.0,890.0,7-6(5) 6-2,3,R16,91.0,6.0,1.0,63.0,45.0,35.0,8.0,10.0,5.0,7.0,4.0,9.0,72.0,35.0,26.0,15.0,10.0,5.0,9.0
2018-339,Brisbane,Hard,32,250,O,20180101,20,H940,,,Ryan Harrison,R,185.0,USA,25.654,47.0,1010.0,H997,,LL,Yannick Hanfmann,R,193.0,GER,26.136,119.0,499.0,6-7(5) 6-4 6-2,3,R16,145.0,19.0,5.0,96.0,54.0,43.0,23.0,15.0,8.0,9.0,5.0,5.0,115.0,68.0,50.0,17.0,15.0,7.0,11.0
2018-339,Brisbane,Hard,32,250,O,20180101,21,D875,1.0,,Grigor Dimitrov,R,191.0,BUL,26.631,3.0,5150.0,E831,,,Kyle Edmund,R,188.0,GBR,22.982,50.0,992.0,6-3 6-7(3) 6-4,3,QF,145.0,12.0,9.0,103.0,65.0,54.0,18.0,16.0,2.0,2.0,6.0,1.0,89.0,53.0,39.0,23.0,15.0,4.0,6.0
2018-339,Brisbane,Hard,32,250,O,20180101,22,KE17,3.0,,Nick Kyrgios,R,193.0,AUS,22.683,21.0,2010.0,D801,,,Alexandr Dolgopolov,R,180.0,UKR,29.15,38.0,1231.0,1-6 6-3 6-4,3,QF,90.0,18.0,5.0,69.0,43.0,38.0,11.0,13.0,1.0,3.0,6.0,3.0,75.0,41.0,33.0,16.0,13.0,2.0,4.0
2018-339,Brisbane,Hard,32,250,O,20180101,23,DH58,,WC,Alex de Minaur,R,183.0,AUS,18.872,208.0,245.0,MP01,,Q,Michael Mmoh,R,188.0,USA,19.975,175.0,299.0,6-4 6-0,3,QF,74.0,6.0,1.0,46.0,23.0,18.0,17.0,8.0,3.0,3.0,3.0,5.0,51.0,29.0,18.0,8.0,8.0,3.0,7.0
