tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-339,Brisbane,Hard,32,250,O,20160104,1,K926,,,Mikhail Kukushkin,R,183.0,KAZ,28.025,65.0,762.0,I165,,,Denis Istomin,R,185.0,UZB,29.325,61.0,781.0,6-2 7-5,3,R32,84.0,1.0,3.0,67.0,36.0,27.0,20.0,10.0,3.0,3.0,6.0,0.0,53.0,32.0,22.0,12.0,10.0,4.0,7.0
2016-339,Brisbane,Hard,32,250,O,20160104,2,S694,,PR,Radek Stepanek,R,185.0,CZE,37.103,197.0,252.0,L987,,,Dusan Lajovic,R,183.0,SRB,25.514,76.0,678.0,6-0 6-3,3,R32,67.0,3.0,2.0,48.0,25.0,18.0,16.0,8.0,2.0,2.0,0.0,2.0,46.0,25.0,15.0,8.0,7.0,4.0,8.0
2016-339,Brisbane,Hard,32,250,O,20160104,3,TA46,7.0,,Bernard Tomic,R,196.0,AUS,23.203,18.0,1675.0,M873,,,Nicolas Mahut,R,191.0,FRA,33.952,71.0,710.0,6-4 6-3,3,R32,69.0,8.0,0.0,59.0,34.0,28.0,14.0,10.0,4.0,5.0,4.0,1.0,50.0,29.0,21.0,10.0,9.0,3.0,6.0
2016-339,Brisbane,Hard,32,250,O,20160104,4,D646,,Q,Ivan Dodig,R,183.0,CRO,31.003,87.0,636.0,AD23,,Q,Oliver Anderson,R,169.0,AUS,17.681,813.0,25.0,6-3 6-2,3,R32,67.0,11.0,2.0,49.0,30.0,24.0,13.0,9.0,0.0,0.0,3.0,1.0,52.0,30.0,22.0,9.0,8.0,3.0,6.0
2016-339,Brisbane,Hard,32,250,O,20160104,5,PF39,,,Lucas Pouille,R,185.0,FRA,21.862,78.0,672.0,N732,,Q,Yoshihito Nishioka,L,170.0,JPN,20.271,117.0,495.0,4-6 6-3 7-5,3,R32,143.0,17.0,2.0,95.0,64.0,53.0,15.0,16.0,2.0,4.0,4.0,3.0,120.0,64.0,42.0,30.0,15.0,12.0,15.0
2016-339,Brisbane,Hard,32,250,O,20160104,6,GB88,6.0,,David Goffin,R,180.0,BEL,25.076,16.0,1880.0,BD20,,,Thomaz Bellucci,L,188.0,BRA,28.014,37.0,1105.0,6-4 6-4,3,R32,82.0,3.0,4.0,57.0,30.0,23.0,16.0,10.0,1.0,2.0,7.0,2.0,66.0,40.0,25.0,15.0,10.0,7.0,10.0
2016-339,Brisbane,Hard,32,250,O,20160104,7,TB69,8.0,,Dominic Thiem,R,185.0,AUT,22.335,20.0,1600.0,D994,,WC,James Duckworth,R,183.0,AUS,23.953,120.0,485.0,3-6 6-4 6-3,3,R32,113.0,4.0,2.0,80.0,48.0,35.0,21.0,14.0,2.0,4.0,14.0,1.0,93.0,42.0,32.0,26.0,14.0,6.0,9.0
2016-339,Brisbane,Hard,32,250,O,20160104,8,KB09,,,Denis Kudla,R,180.0,USA,23.381,69.0,719.0,SJ55,,WC,John-Patrick Smith,L,188.0,AUS,26.943,129.0,459.0,4-6 6-3 6-2,3,R32,103.0,2.0,3.0,73.0,44.0,36.0,19.0,14.0,4.0,5.0,8.0,3.0,85.0,40.0,25.0,25.0,13.0,5.0,8.0
2016-339,Brisbane,Hard,32,250,O,20160104,9,CH27,,,Hyeon Chung,R,188.0,KOR,19.628,51.0,817.0,G940,,,Sam Groth,R,193.0,AUS,28.211,60.0,782.0,7-6(8) 6-4,3,R32,102.0,2.0,3.0,73.0,48.0,35.0,14.0,11.0,2.0,4.0,11.0,3.0,84.0,52.0,39.0,10.0,11.0,8.0,11.0
2016-339,Brisbane,Hard,32,250,O,20160104,10,D875,,,Grigor Dimitrov,R,191.0,BUL,24.638,28.0,1360.0,SD32,5.0,,Gilles Simon,R,183.0,FRA,31.02,15.0,2145.0,6-3 7-6(10),3,R32,125.0,8.0,6.0,81.0,46.0,36.0,18.0,11.0,6.0,7.0,2.0,3.0,91.0,55.0,36.0,16.0,10.0,3.0,5.0
