tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-339,Brisbane,Hard,32,250,O,20240101,1,D875,2.0,,Grigor Dimitrov,R,191.0,BUL,32.63,14.0,2570.0,MC10,,,Andy Murray,R,191.0,GBR,36.632,42.0,1050.0,4-6 7-5 6-2,3,R32,147.0,13.0,2.0,82.0,51.0,42.0,16.0,15.0,3.0,5.0,4.0,0.0,86.0,51.0,32.0,21.0,15.0,4.0,8.0
2024-339,Brisbane,Hard,32,250,O,20240101,2,AE14,,,Daniel Altmaier,R,188.0,GER,25.303,56.0,891.0,TC01,,Q,Li Tu,R,183.0,AUS,27.598,225.0,280.0,7-6(5) 7-6(4),3,R32,121.0,7.0,1.0,81.0,55.0,42.0,17.0,12.0,0.0,0.0,3.0,2.0,83.0,46.0,38.0,22.0,12.0,2.0,2.0
2024-339,Brisbane,Hard,32,250,O,20240101,3,H0BH,,WC,Rinky Hijikata,R,178.0,AUS,22.853,71.0,744.0,KD46,,,Thanasi Kokkinakis,R,193.0,AUS,27.726,65.0,802.0,7-6(8) 6-2,3,R32,97.0,4.0,1.0,67.0,39.0,33.0,16.0,10.0,2.0,2.0,16.0,1.0,62.0,47.0,36.0,6.0,10.0,2.0,4.0
2024-339,Brisbane,Hard,32,250,O,20240101,4,M0FH,,Q,Tomas Machac,R,183.0,CZE,23.217,78.0,722.0,EA24,7.0,,Tomas Martin Etcheverry,R,196.0,ARG,24.457,30.0,1375.0,6-7(5) 7-5 7-6(1),3,R32,189.0,5.0,1.0,111.0,70.0,57.0,21.0,18.0,4.0,6.0,6.0,2.0,116.0,82.0,59.0,17.0,18.0,5.0,8.0
2024-339,Brisbane,Hard,32,250,O,20240101,5,HH26,4.0,,Ugo Humbert,L,188.0,FRA,25.517,20.0,1765.0,M0QI,,Q,Alex Michelsen,R,193.0,USA,19.351,97.0,653.0,6-4 6-4,3,R32,95.0,4.0,1.0,53.0,29.0,24.0,19.0,10.0,2.0,2.0,5.0,5.0,72.0,38.0,24.0,18.0,10.0,8.0,10.0
2024-339,Brisbane,Hard,32,250,O,20240101,6,TC61,,,Jordan Thompson,R,183.0,AUS,29.7,55.0,902.0,V832,,,Aleksandar Vukic,R,188.0,AUS,27.737,62.0,835.0,6-3 6-2,3,R32,96.0,7.0,1.0,46.0,28.0,23.0,11.0,9.0,0.0,1.0,3.0,0.0,54.0,32.0,18.0,10.0,8.0,4.0,8.0
2024-339,Brisbane,Hard,32,250,O,20240101,7,N409,,WC,Rafael Nadal,L,185.0,ESP,37.58,672.0,45.0,TB69,,Q,Dominic Thiem,R,185.0,AUT,30.327,98.0,652.0,7-5 6-1,3,R32,89.0,3.0,1.0,46.0,31.0,28.0,12.0,10.0,0.0,0.0,3.0,3.0,54.0,34.0,23.0,10.0,9.0,3.0,6.0
2024-339,Brisbane,Hard,32,250,O,20240101,8,KB95,,WC,Jason Kubler,R,178.0,AUS,30.62,102.0,631.0,KC56,8.0,,Aslan Karatsev,R,185.0,RUS,30.324,35.0,1193.0,6-4 6-7(4) RET,3,R32,143.0,5.0,1.0,76.0,49.0,31.0,13.0,11.0,6.0,9.0,2.0,6.0,70.0,39.0,29.0,14.0,11.0,4.0,8.0
2024-339,Brisbane,Hard,32,250,O,20240101,9,KI63,,Q,Lukas Klein,R,193.0,SVK,25.78,170.0,359.0,B0BI,6.0,,Sebastian Baez,R,170.0,ARG,23.009,28.0,1435.0,4-6 6-3 6-4,3,R32,134.0,9.0,2.0,83.0,51.0,38.0,18.0,15.0,3.0,5.0,3.0,2.0,115.0,92.0,53.0,14.0,14.0,11.0,14.0
2024-339,Brisbane,Hard,32,250,O,20240101,10,A0FC,,,Matteo Arnaldi,R,185.0,ITA,22.856,44.0,1021.0,F724,,,Marton Fucsovics,R,188.0,HUN,31.896,59.0,882.0,6-7(5) 6-4 7-6(7),3,R32,187.0,6.0,2.0,122.0,66.0,48.0,39.0,17.0,2.0,2.0,11.0,1.0,101.0,61.0,47.0,30.0,17.0,1.0,2.0
