tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-8888,ATP Cup,Hard,24,A,O,20200103,1,D632,,,Steve Darcis,R,175.0,BEL,35.808,157.0,332.0,CJ60,,,Alexandr Cozbinov,R,188.0,MDA,24.684,,,6-4 6-7(4) 7-5,3,RR,190.0,8.0,2.0,113.0,66.0,43.0,21.0,17.0,8.0,14.0,2.0,2.0,116.0,72.0,42.0,18.0,17.0,6.0,14.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,2,GB88,,,David Goffin,R,180.0,BEL,29.073,11.0,2335.0,A829,,,Radu Albot,R,175.0,MDA,30.144,46.0,1067.0,6-4 6-1,3,RR,82.0,6.0,3.0,54.0,30.0,22.0,15.0,8.0,5.0,5.0,3.0,2.0,63.0,39.0,23.0,10.0,9.0,7.0,11.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,3,N771,,,Cameron Norrie,L,188.0,GBR,24.364,53.0,975.0,KC33,,,Dimitar Kuzmanov,R,183.0,BUL,26.434,423.0,80.0,6-2 3-6 6-2,3,RR,119.0,8.0,5.0,60.0,40.0,33.0,7.0,12.0,2.0,5.0,4.0,2.0,82.0,53.0,32.0,12.0,13.0,4.0,10.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,4,D875,,,Grigor Dimitrov,R,191.0,BUL,28.635,20.0,1747.0,E687,,,Daniel Evans,R,175.0,GBR,29.615,42.0,1124.0,2-6 6-4 6-1,3,RR,136.0,3.0,4.0,81.0,50.0,29.0,19.0,13.0,3.0,7.0,1.0,0.0,83.0,53.0,32.0,13.0,12.0,3.0,8.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,5,FB98,,,Taylor Fritz,R,196.0,USA,22.182,32.0,1315.0,DC76,,,Viktor Durasovic,R,185.0,NOR,22.793,332.0,117.0,6-2 6-2,3,RR,61.0,11.0,2.0,39.0,23.0,22.0,11.0,8.0,1.0,1.0,3.0,1.0,57.0,32.0,18.0,10.0,8.0,7.0,11.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,6,RH16,,,Casper Ruud,R,183.0,NOR,21.032,54.0,956.0,I186,,,John Isner,R,208.0,USA,34.689,19.0,1770.0,6-7(3) 7-6(10) 7-5,3,RR,163.0,4.0,0.0,105.0,80.0,69.0,18.0,18.0,1.0,1.0,33.0,2.0,123.0,90.0,77.0,13.0,18.0,5.0,6.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,7,KE29,,,Karen Khachanov,R,198.0,RUS,23.619,17.0,1840.0,TA12,,,Stefano Travaglia,R,185.0,ITA,28.016,84.0,637.0,7-5 6-3,3,RR,88.0,6.0,1.0,65.0,46.0,36.0,8.0,11.0,1.0,3.0,5.0,3.0,58.0,30.0,22.0,11.0,10.0,1.0,5.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,8,MM58,,,Daniil Medvedev,R,198.0,RUS,23.893,5.0,5705.0,F510,,,Fabio Fognini,R,178.0,ITA,32.613,12.0,2290.0,1-6 6-1 6-3,3,RR,107.0,6.0,4.0,58.0,32.0,24.0,15.0,11.0,0.0,2.0,4.0,2.0,94.0,57.0,34.0,16.0,12.0,14.0,18.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,9,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,19.403,21.0,1636.0,PM13,,,Michail Pervolarakis,R,193.0,GRE,23.576,487.0,62.0,6-1 6-3,3,RR,69.0,5.0,4.0,42.0,26.0,22.0,10.0,8.0,0.0,0.0,0.0,1.0,46.0,18.0,12.0,12.0,8.0,6.0,10.0
2020-8888,ATP Cup,Hard,24,A,O,20200103,10,SU55,,,Denis Shapovalov,L,185.0,CAN,20.72,15.0,2050.0,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,21.394,6.0,5300.0,7-6(4) 7-6(6),3,RR,123.0,12.0,4.0,92.0,61.0,48.0,17.0,12.0,4.0,4.0,3.0,3.0,75.0,47.0,40.0,17.0,12.0,1.0,1.0
