tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2013-339,Brisbane,Hard,28,250,O,20121230,1,MH30,,Q,John Millman,R,183.0,AUS,23.546,199.0,239.0,I230,,,Tatsuma Ito,R,180.0,JPN,24.619,79.0,655.0,6-4 6-1,3,R32,86.0,7.0,6.0,69.0,44.0,33.0,11.0,9.0,3.0,4.0,2.0,5.0,53.0,26.0,19.0,8.0,8.0,3.0,7.0
2013-339,Brisbane,Hard,28,250,O,20121230,2,M762,7.0,,Jurgen Melzer,L,183.0,AUT,31.608,29.0,1177.0,KB09,,Q,Denis Kudla,R,180.0,USA,20.37,137.0,402.0,2-6 6-4 6-4,3,R32,107.0,5.0,1.0,78.0,55.0,40.0,12.0,14.0,3.0,6.0,3.0,3.0,91.0,48.0,37.0,20.0,14.0,4.0,7.0
2013-339,Brisbane,Hard,28,250,O,20121230,3,GB88,,,David Goffin,R,180.0,BEL,22.064,46.0,868.0,E690,,WC,Matthew Ebden,R,188.0,AUS,25.095,105.0,529.0,6-2 6-2,3,R32,55.0,2.0,2.0,43.0,28.0,22.0,11.0,8.0,2.0,2.0,1.0,4.0,40.0,18.0,9.0,11.0,8.0,0.0,4.0
2013-339,Brisbane,Hard,28,250,O,20121230,4,D875,,,Grigor Dimitrov,R,191.0,BUL,21.626,48.0,866.0,BA23,,,Brian Baker,R,191.0,USA,27.669,61.0,756.0,6-3 7-6(8),3,R32,82.0,10.0,1.0,64.0,40.0,33.0,15.0,11.0,0.0,1.0,6.0,2.0,70.0,49.0,28.0,16.0,10.0,3.0,5.0
2013-339,Brisbane,Hard,28,250,O,20121230,5,H432,,WC,Lleyton Hewitt,R,178.0,AUS,31.847,83.0,625.0,K403,,LL,Igor Kunitsyn,R,180.0,RUS,31.25,162.0,339.0,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0
2013-339,Brisbane,Hard,28,250,O,20121230,6,I165,,,Denis Istomin,R,185.0,UZB,26.313,43.0,897.0,K966,8.0,,Martin Klizan,L,191.0,SVK,23.472,30.0,1175.0,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0
2013-339,Brisbane,Hard,28,250,O,20121230,7,N289,,,Jarkko Nieminen,L,185.0,FIN,31.439,41.0,927.0,B747,,,Julien Benneteau,R,185.0,FRA,31.028,35.0,1075.0,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0
2013-339,Brisbane,Hard,28,250,O,20121230,8,R419,,,Tommy Robredo,R,180.0,ESP,30.667,114.0,495.0,H940,,Q,Ryan Harrison,R,185.0,USA,20.649,69.0,710.0,6-4 7-6(4),3,R32,96.0,6.0,0.0,64.0,50.0,43.0,8.0,11.0,1.0,1.0,4.0,1.0,68.0,39.0,26.0,20.0,11.0,0.0,1.0
2013-339,Brisbane,Hard,28,250,O,20121230,9,N552,5.0,,Kei Nishikori,R,178.0,JPN,23.003,19.0,1830.0,ME05,,,Marinko Matosevic,R,193.0,AUS,27.395,49.0,845.0,7-5 6-2,3,R32,102.0,2.0,0.0,72.0,45.0,29.0,17.0,10.0,4.0,5.0,3.0,1.0,70.0,37.0,25.0,13.0,10.0,3.0,7.0
2013-339,Brisbane,Hard,28,250,O,20121230,10,MB02,6.0,,Florian Mayer,R,191.0,GER,29.238,28.0,1215.0,G725,,,Santiago Giraldo,R,188.0,COL,25.092,57.0,778.0,6-4 6-4,3,R32,65.0,6.0,1.0,50.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0
2013-339,Brisbane,Hard,28,250,O,20121230,11,B837,,,Marcos Baghdatis,R,178.0,CYP,27.537,36.0,1070.0,MK40,,WC,Benjamin Mitchell,R,183.0,AUS,20.082,327.0,137.0,6-4 6-4,3,R32,77.0,5.0,1.0,60.0,35.0,30.0,14.0,10.0,4.0,4.0,5.0,1.0,57.0,35.0,28.0,10.0,10.0,0.0,2.0
2013-339,Brisbane,Hard,28,250,O,20121230,12,F444,,,Alejandro Falla,L,185.0,COL,29.128,54.0,809.0,L799,,Q,Jesse Levine,L,175.0,CAN,25.21,104.0,530.0,6-1 7-6(8),3,R32,78.0,11.0,1.0,59.0,46.0,40.0,8.0,10.0,0.0,0.0,5.0,2.0,74.0,45.0,29.0,16.0,9.0,8.0,10.0
