tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-339,Brisbane,Hard,28,250,O,20131229,1,N289,,,Jarkko Nieminen,L,185.0,FIN,32.435,39.0,1090.0,D994,,WC,James Duckworth,R,183.0,AUS,21.938,136.0,425.0,6-2 6-3,3,R32,72.0,5.0,3.0,71.0,54.0,36.0,9.0,9.0,5.0,5.0,9.0,7.0,51.0,29.0,23.0,6.0,8.0,2.0,5.0
2014-339,Brisbane,Hard,28,250,O,20131229,2,D875,5.0,,Grigor Dimitrov,R,191.0,BUL,22.623,23.0,1520.0,H756,,,Robin Haase,R,191.0,NED,26.732,43.0,977.0,6-2 6-3,3,R32,58.0,6.0,1.0,43.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,1.0,56.0,39.0,24.0,8.0,8.0,5.0,8.0
2014-339,Brisbane,Hard,28,250,O,20131229,3,C977,,,Marin Cilic,R,198.0,CRO,25.251,37.0,1130.0,I165,,,Denis Istomin,R,185.0,UZB,27.31,45.0,965.0,6-7(3) 7-6(5) 6-4,3,R32,142.0,14.0,7.0,111.0,59.0,51.0,27.0,17.0,2.0,2.0,8.0,2.0,100.0,56.0,45.0,29.0,17.0,2.0,3.0
2014-339,Brisbane,Hard,28,250,O,20131229,4,E690,,,Matthew Ebden,R,188.0,AUS,26.092,68.0,706.0,K737,,LL,Alex Kuznetsov,R,183.0,USA,26.897,142.0,397.0,6-3 6-4,3,R32,73.0,5.0,7.0,61.0,40.0,32.0,6.0,10.0,1.0,3.0,4.0,1.0,56.0,43.0,24.0,7.0,9.0,6.0,10.0
2014-339,Brisbane,Hard,28,250,O,20131229,5,ME05,,,Marinko Matosevic,R,193.0,AUS,28.392,61.0,774.0,B747,,,Julien Benneteau,R,185.0,FRA,32.025,35.0,1160.0,5-7 6-4 7-6(4),3,R32,161.0,11.0,3.0,112.0,68.0,43.0,26.0,17.0,5.0,9.0,14.0,1.0,117.0,76.0,51.0,18.0,17.0,7.0,11.0
2014-339,Brisbane,Hard,28,250,O,20131229,6,Q927,,,Sam Querrey,R,198.0,USA,26.229,46.0,960.0,T315,7.0,,Dmitry Tursunov,R,185.0,RUS,31.047,29.0,1244.0,7-5 6-4,3,R32,77.0,18.0,1.0,58.0,40.0,36.0,7.0,11.0,2.0,3.0,4.0,0.0,63.0,40.0,26.0,12.0,11.0,6.0,9.0
2014-339,Brisbane,Hard,28,250,O,20131229,7,G940,,WC,Sam Groth,R,193.0,AUS,26.196,172.0,307.0,H940,,Q,Ryan Harrison,R,185.0,USA,21.645,100.0,549.0,7-6(3) 7-6(2),3,R32,95.0,23.0,2.0,70.0,51.0,46.0,10.0,12.0,1.0,1.0,5.0,4.0,86.0,59.0,43.0,15.0,12.0,4.0,4.0
2014-339,Brisbane,Hard,28,250,O,20131229,8,M873,,,Nicolas Mahut,R,191.0,FRA,31.937,50.0,918.0,SF36,,,Igor Sijsling,R,191.0,NED,26.366,70.0,697.0,3-6 6-4 6-4,3,R32,107.0,15.0,4.0,100.0,59.0,46.0,18.0,15.0,4.0,6.0,13.0,2.0,78.0,50.0,43.0,12.0,14.0,2.0,4.0
2014-339,Brisbane,Hard,28,250,O,20131229,9,CA12,8.0,,Jeremy Chardy,R,188.0,FRA,26.877,34.0,1175.0,ME82,,,Adrian Mannarino,L,180.0,FRA,25.5,59.0,784.0,7-6(4) 7-5,3,R32,109.0,10.0,2.0,76.0,50.0,34.0,15.0,12.0,4.0,7.0,4.0,3.0,88.0,54.0,31.0,17.0,12.0,5.0,9.0
2014-339,Brisbane,Hard,28,250,O,20131229,10,L397,6.0,,Feliciano Lopez,L,188.0,ESP,32.274,28.0,1310.0,K926,,,Mikhail Kukushkin,R,183.0,KAZ,26.01,67.0,721.0,6-4 6-4,3,R32,75.0,13.0,3.0,55.0,30.0,24.0,14.0,10.0,1.0,3.0,4.0,2.0,58.0,28.0,12.0,19.0,10.0,2.0,6.0
2014-339,Brisbane,Hard,28,250,O,20131229,11,H432,,,Lleyton Hewitt,R,178.0,AUS,32.843,60.0,780.0,KD46,,Q,Thanasi Kokkinakis,R,193.0,AUS,17.719,628.0,41.0,6-3 7-5,3,R32,101.0,4.0,1.0,62.0,32.0,27.0,16.0,10.0,3.0,4.0,8.0,5.0,76.0,45.0,29.0,15.0,11.0,11.0,15.0
