tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2021-499,Delray Beach,Hard,28,250,O,20210104,1,PL56,5.0,,Tommy Paul,R,185.0,USA,23.636,52.0,1080.0,N652,,,JiSung Nam,R,183.0,KOR,27.389,268.0,205.0,6-1 6-4,3,R32,67.0,5.0,0.0,59.0,38.0,26.0,13.0,9.0,2.0,3.0,2.0,4.0,51.0,27.0,16.0,10.0,8.0,2.0,6.0
2021-499,Delray Beach,Hard,28,250,O,20210104,2,Q927,6.0,,Sam Querrey,R,198.0,USA,33.246,56.0,1065.0,MK66,,,Mackenzie McDonald,R,178.0,USA,25.722,194.0,335.0,6-3 6-4,3,R32,70.0,13.0,2.0,66.0,36.0,30.0,14.0,10.0,6.0,7.0,4.0,2.0,52.0,32.0,19.0,12.0,9.0,3.0,6.0
2021-499,Delray Beach,Hard,28,250,O,20210104,3,K336,,,Ivo Karlovic,R,211.0,CRO,41.851,148.0,444.0,A596,7.0,,Pablo Andujar,R,180.0,ESP,34.949,59.0,1044.0,6-3 5-7 6-4,3,R32,136.0,27.0,9.0,101.0,63.0,51.0,15.0,16.0,2.0,4.0,0.0,5.0,100.0,63.0,41.0,21.0,15.0,5.0,8.0
2021-499,Delray Beach,Hard,28,250,O,20210104,4,TD51,8.0,,Frances Tiafoe,R,188.0,USA,22.957,62.0,1005.0,Y124,,Q,Donald Young,L,183.0,USA,31.452,327.0,135.0,6-3 6-4,3,R32,76.0,2.0,1.0,51.0,26.0,20.0,16.0,9.0,1.0,2.0,4.0,6.0,73.0,43.0,28.0,11.0,10.0,4.0,8.0
2021-499,Delray Beach,Hard,28,250,O,20210104,5,F811,,,Bjorn Fratangelo,R,183.0,USA,27.463,274.0,195.0,KB14,,Q,Kevin King,L,191.0,USA,29.851,304.0,154.0,6-2 6-2,3,R32,69.0,0.0,0.0,51.0,25.0,22.0,15.0,8.0,2.0,2.0,2.0,2.0,49.0,32.0,17.0,7.0,8.0,2.0,6.0
2021-499,Delray Beach,Hard,28,250,O,20210104,6,GE33,,,Daniel Elahi Galan,R,191.0,COL,24.548,115.0,606.0,MF35,,,Andrej Martin,R,183.0,SVK,31.291,100.0,734.0,6-4 6-4,3,R32,81.0,3.0,2.0,64.0,39.0,30.0,13.0,10.0,5.0,6.0,2.0,2.0,64.0,36.0,24.0,12.0,10.0,4.0,7.0
2021-499,Delray Beach,Hard,28,250,O,20210104,7,HB05,,Q,Christian Harrison,R,180.0,USA,26.604,789.0,22.0,EA24,,,Tomas Martin Etcheverry,R,196.0,ARG,21.467,256.0,216.0,6-4 6-2,3,R32,80.0,10.0,4.0,51.0,34.0,29.0,7.0,9.0,2.0,3.0,4.0,3.0,69.0,44.0,25.0,10.0,9.0,9.0,13.0
2021-499,Delray Beach,Hard,28,250,O,20210104,8,K0AH,,,Sebastian Korda,R,196.0,USA,20.501,119.0,566.0,KF17,,,Soonwoo Kwon,R,180.0,KOR,23.091,95.0,768.0,6-4 6-4,3,R32,93.0,8.0,1.0,88.0,53.0,36.0,18.0,10.0,5.0,6.0,4.0,4.0,50.0,29.0,22.0,11.0,10.0,1.0,4.0
2021-499,Delray Beach,Hard,28,250,O,20210104,9,ML57,,,Gianluca Mager,R,188.0,ITA,26.094,101.0,733.0,H940,,WC,Ryan Harrison,R,185.0,USA,28.663,481.0,73.0,3-6 6-1 6-4,3,R32,115.0,9.0,3.0,93.0,66.0,51.0,12.0,13.0,12.0,13.0,4.0,4.0,84.0,44.0,34.0,17.0,13.0,3.0,6.0
2021-499,Delray Beach,Hard,28,250,O,20210104,10,MJ08,,,Thiago Monteiro,L,183.0,BRA,26.598,84.0,820.0,BD20,,,Thomaz Bellucci,L,188.0,BRA,33.016,281.0,185.0,6-3 7-5,3,R32,100.0,2.0,1.0,67.0,38.0,28.0,16.0,10.0,8.0,9.0,3.0,3.0,69.0,42.0,25.0,12.0,11.0,2.0,6.0
2021-499,Delray Beach,Hard,28,250,O,20210104,11,N771,,,Cameron Norrie,L,188.0,GBR,25.369,74.0,877.0,AB71,,WC,JC Aragone,R,178.0,USA,25.522,299.0,165.0,6-2 6-1,3,R32,67.0,3.0,2.0,48.0,31.0,26.0,10.0,8.0,3.0,3.0,2.0,2.0,47.0,28.0,13.0,7.0,7.0,4.0,8.0
