tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-339,Brisbane,Hard,32,250,O,20120101,1,MC10,1.0,,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,K926,,,Mikhail Kukushkin,R,183.0,KAZ,24.016,91.0,598.0,5-7 6-3 6-2,3,R32,130.0,10.0,0.0,92.0,57.0,41.0,17.0,15.0,4.0,7.0,4.0,3.0,77.0,41.0,29.0,15.0,14.0,4.0,9.0
2012-339,Brisbane,Hard,32,250,O,20120101,2,MA30,,,Gilles Muller,L,193.0,LUX,28.649,54.0,893.0,M708,,,Ricardo Mello,L,175.0,BRA,31.028,85.0,630.0,6-7(3) 7-6(4) 6-3,3,R32,136.0,23.0,1.0,104.0,55.0,47.0,31.0,17.0,3.0,3.0,3.0,5.0,103.0,67.0,54.0,20.0,16.0,1.0,2.0
2012-339,Brisbane,Hard,32,250,O,20120101,3,B837,,,Marcos Baghdatis,R,178.0,CYP,26.541,44.0,940.0,H940,,,Ryan Harrison,R,185.0,USA,19.652,79.0,658.0,7-6(7) 6-4,3,R32,101.0,8.0,3.0,71.0,31.0,26.0,26.0,11.0,5.0,6.0,14.0,1.0,79.0,48.0,36.0,17.0,11.0,2.0,4.0
2012-339,Brisbane,Hard,32,250,O,20120101,4,N552,5.0,,Kei Nishikori,R,178.0,JPN,22.007,25.0,1430.0,SK94,,,Cedrik-Marcel Stebe,L,180.0,GER,21.229,81.0,652.0,3-6 6-1 6-4,3,R32,130.0,1.0,2.0,75.0,49.0,31.0,16.0,13.0,3.0,6.0,4.0,2.0,90.0,49.0,27.0,23.0,13.0,9.0,14.0
2012-339,Brisbane,Hard,32,250,O,20120101,5,I165,,,Denis Istomin,R,185.0,UZB,25.317,73.0,685.0,MB02,4.0,,Florian Mayer,R,191.0,GER,28.241,23.0,1630.0,7-6(5) 2-3 RET,3,R32,69.0,10.0,1.0,56.0,28.0,23.0,18.0,8.0,2.0,2.0,2.0,1.0,55.0,38.0,28.0,11.0,9.0,0.0,0.0
2012-339,Brisbane,Hard,32,250,O,20120101,6,H355,,,Tommy Haas,R,188.0,GER,33.747,205.0,237.0,ME05,,WC,Marinko Matosevic,R,193.0,AUS,26.398,203.0,240.0,6-3 7-5,3,R32,99.0,4.0,2.0,66.0,40.0,32.0,14.0,11.0,6.0,7.0,4.0,2.0,77.0,45.0,28.0,15.0,10.0,10.0,13.0
2012-339,Brisbane,Hard,32,250,O,20120101,7,I230,,Q,Tatsuma Ito,R,180.0,JPN,23.622,122.0,474.0,MK40,,WC,Benjamin Mitchell,R,183.0,AUS,19.086,227.0,214.0,6-4 6-2,3,R32,70.0,6.0,0.0,52.0,30.0,24.0,15.0,9.0,2.0,2.0,11.0,6.0,68.0,44.0,30.0,7.0,9.0,8.0,11.0
2012-339,Brisbane,Hard,32,250,O,20120101,8,TA46,8.0,,Bernard Tomic,R,196.0,AUS,19.195,42.0,970.0,B747,,,Julien Benneteau,R,185.0,FRA,30.031,52.0,900.0,6-2 4-6 7-5,3,R32,147.0,7.0,2.0,92.0,53.0,36.0,23.0,15.0,4.0,7.0,14.0,12.0,121.0,71.0,48.0,19.0,15.0,16.0,21.0
2012-339,Brisbane,Hard,32,250,O,20120101,9,S694,6.0,,Radek Stepanek,R,185.0,CZE,33.095,28.0,1275.0,E690,,,Matthew Ebden,R,188.0,AUS,24.099,86.0,627.0,6-4 3-6 6-3,3,R32,132.0,8.0,4.0,91.0,51.0,38.0,22.0,14.0,3.0,4.0,5.0,3.0,99.0,64.0,43.0,19.0,14.0,10.0,12.0
2012-339,Brisbane,Hard,32,250,O,20120101,10,N289,,,Jarkko Nieminen,L,185.0,FIN,30.442,77.0,666.0,L799,,Q,Jesse Levine,L,175.0,CAN,24.214,164.0,308.0,7-6(4) 6-2,3,R32,101.0,3.0,0.0,71.0,53.0,32.0,10.0,10.0,6.0,9.0,3.0,6.0,90.0,63.0,36.0,10.0,10.0,9.0,14.0
2012-339,Brisbane,Hard,32,250,O,20120101,11,A511,,Q,Igor Andreev,R,185.0,RUS,28.468,115.0,494.0,ME82,,,Adrian Mannarino,L,180.0,FRA,23.507,87.0,623.0,7-6(6) 6-2,3,R32,86.0,7.0,3.0,70.0,41.0,33.0,16.0,10.0,2.0,3.0,3.0,3.0,60.0,35.0,24.0,13.0,10.0,3.0,6.0
2012-339,Brisbane,Hard,32,250,O,20120101,12,D801,3.0,,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,F444,,,Alejandro Falla,L,185.0,COL,28.131,74.0,671.0,7-6(3) 6-2,3,R32,81.0,5.0,0.0,75.0,37.0,26.0,16.0,10.0,4.0,7.0,0.0,3.0,58.0,33.0,16.0,12.0,10.0,4.0,9.0
2012-339,Brisbane,Hard,32,250,O,20120101,13,P624,,,Philipp Petzschner,R,185.0,GER,27.773,63.0,780.0,M762,7.0,,Jurgen Melzer,L,183.0,AUT,30.612,33.0,1170.0,6-1 7-5,3,R32,66.0,8.0,1.0,61.0,37.0,31.0,13.0,10.0,2.0,2.0,5.0,2.0,54.0,34.0,21.0,9.0,9.0,0.0,3.0
