tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2015-339,Brisbane,Hard,28,250,O,20150104,1,MH30,,WC,John Millman,R,183.0,AUS,25.558,153.0,328.0,W522,,Q,Rhyne Williams,R,185.0,USA,23.789,220.0,221.0,6-3 6-1,3,R32,65.0,6.0,2.0,44.0,24.0,19.0,14.0,8.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,5.0,8.0,1.0,5.0
2015-339,Brisbane,Hard,28,250,O,20150104,2,KD46,,WC,Thanasi Kokkinakis,R,193.0,AUS,18.735,149.0,341.0,B747,8.0,,Julien Benneteau,R,185.0,FRA,33.04,25.0,1365.0,6-4 6-3,3,R32,75.0,9.0,1.0,52.0,30.0,25.0,14.0,10.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,7.0,9.0,1.0,4.0
2015-339,Brisbane,Hard,28,250,O,20150104,3,TA46,,,Bernard Tomic,R,196.0,AUS,22.204,53.0,797.0,Q927,,,Sam Querrey,R,198.0,USA,27.244,35.0,1090.0,7-5 7-6(5),3,R32,83.0,5.0,0.0,77.0,46.0,36.0,21.0,12.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,12.0,4.0,6.0
2015-339,Brisbane,Hard,28,250,O,20150104,4,J386,,,Steve Johnson,R,188.0,USA,25.029,37.0,999.0,ME05,,,Marinko Matosevic,R,193.0,AUS,29.407,77.0,657.0,2-6 7-6(0) 7-5,3,R32,136.0,14.0,3.0,95.0,58.0,45.0,24.0,16.0,4.0,6.0,10.0,5.0,106.0,68.0,51.0,19.0,16.0,3.0,4.0
2015-339,Brisbane,Hard,28,250,O,20150104,5,N289,,,Jarkko Nieminen,L,185.0,FIN,33.451,73.0,689.0,KB09,,Q,Denis Kudla,R,180.0,USA,22.382,123.0,440.0,4-6 6-1 6-4,3,R32,104.0,4.0,0.0,92.0,59.0,39.0,17.0,14.0,4.0,7.0,6.0,1.0,83.0,50.0,26.0,19.0,13.0,3.0,8.0
2015-339,Brisbane,Hard,28,250,O,20150104,6,D994,,WC,James Duckworth,R,183.0,AUS,22.954,125.0,430.0,SD32,6.0,,Gilles Simon,R,183.0,FRA,30.021,21.0,1730.0,6-2 6-2,3,R32,68.0,4.0,0.0,45.0,27.0,20.0,11.0,8.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,5.0,8.0,10.0,15.0
2015-339,Brisbane,Hard,28,250,O,20150104,7,CA12,,,Jeremy Chardy,R,188.0,FRA,27.893,31.0,1195.0,G806,,,Andrey Golubev,R,180.0,KAZ,27.455,72.0,691.0,6-4 6-4,3,R32,69.0,7.0,1.0,53.0,39.0,31.0,11.0,10.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,8.0,10.0,1.0,3.0
2015-339,Brisbane,Hard,28,250,O,20150104,8,K966,,,Martin Klizan,L,191.0,SVK,25.484,34.0,1094.0,M762,,,Jurgen Melzer,L,183.0,AUT,33.621,110.0,505.0,6-7(5) 7-6(6) 6-1,3,R32,144.0,9.0,4.0,130.0,79.0,55.0,27.0,16.0,6.0,8.0,4.0,4.0,95.0,62.0,40.0,19.0,15.0,4.0,8.0
2015-339,Brisbane,Hard,28,250,O,20150104,9,D801,7.0,,Alexandr Dolgopolov,R,180.0,UKR,26.157,23.0,1455.0,B884,,,Carlos Berlocq,R,183.0,ARG,31.918,71.0,700.0,6-2 6-3,3,R32,78.0,6.0,1.0,49.0,31.0,24.0,12.0,9.0,3.0,4.0,3.0,2.0,78.0,53.0,32.0,8.0,8.0,11.0,15.0
2015-339,Brisbane,Hard,28,250,O,20150104,10,K540,,Q,Lukasz Kubot,R,191.0,POL,32.638,177.0,282.0,A678,5.0,,Kevin Anderson,R,203.0,RSA,28.632,16.0,2080.0,7-6(3) 6-4,3,R32,110.0,6.0,5.0,78.0,51.0,35.0,14.0,11.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,17.0,11.0,4.0,7.0
